D:\self-driving-car\data\IMG\center_2025_04_25_00_30_12_163.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_12_163.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_12_163.jpg,0,0,0,5.529804E-05
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_12_240.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_12_240.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_12_240.jpg,0,0,0,7.385361E-05
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_12_327.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_12_327.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_12_327.jpg,0,0,0,9.00521E-05
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_12_412.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_12_412.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_12_412.jpg,0,0,0,0.0001104442
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_12_487.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_12_487.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_12_487.jpg,0,0,0,0.0001308036
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_12_568.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_12_568.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_12_568.jpg,0,0.1187868,0,0.07975863
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_12_649.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_12_649.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_12_649.jpg,0,0.3632076,0,0.2769516
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_12_729.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_12_729.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_12_729.jpg,0,0.6055362,0,0.7329726
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_12_812.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_12_812.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_12_812.jpg,0,0.8561064,0,1.472649
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_12_893.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_12_893.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_12_893.jpg,0,1,0,2.426571
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_12_983.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_12_983.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_12_983.jpg,0,1,0,3.601099
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_13_069.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_13_069.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_13_069.jpg,0,1,0,4.539834
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_13_154.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_13_154.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_13_154.jpg,0,1,0,5.469173
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_13_237.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_13_237.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_13_237.jpg,0,1,0,6.391302
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_13_320.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_13_320.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_13_320.jpg,0,1,0,7.533839
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_16_541.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_16_541.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_16_541.jpg,0,0,0,0.9716129
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_16_610.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_16_610.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_16_610.jpg,0,0,0,0.9657503
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_16_688.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_16_688.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_16_688.jpg,0,0.0618849,0,0.9880525
D:\self-driving-car\data\IMG\center_2025_04_25_00_30_16_766.jpg,D:\self-driving-car\data\IMG\left_2025_04_25_00_30_16_766.jpg,D:\self-driving-car\data\IMG\right_2025_04_25_00_30_16_766.jpg,0,0.2938518,0,1.175002
